name,core_papers,sources,dblp_current,reason
Junnan Li 0008,3,,"TU Munich, Munich Institute of Robotics and Machine Intelligence, Germany",current DBLP affiliation here but on no institution directory
Ahmed Frikha 0002,3,,"Huawei Munich Research Center, Germany",current DBLP affiliation here but on no institution directory
Virginia Estellers,3,,"TU Munich, Department of Computer Science, Germany|University of California, Los Angeles, Vision Lab, CA, USA|EPFL Lausa",current DBLP affiliation here but on no institution directory
Yvain Quéau,3,,"TU Munich, Department of Computer Science, Germany",current DBLP affiliation here but on no institution directory
Aleksandra Franz,3,,"Technical University of Munich, Germany",current DBLP affiliation here but on no institution directory
Haowei Zhang 0002,3,,"Technical University of Munich, Munich, Germany",current DBLP affiliation here but on no institution directory
Wei Zhang 0334,3,,"Huawei Munich Research Center, Germany|University of Stuttgart, Institute for Photogrammetry, Germany",current DBLP affiliation here but on no institution directory
Axel von Arnim,3,,"fortiss - Research Institute of the Free State of Bavaria, Department of Neuromorphic Computing, Munich, Germany",current DBLP affiliation here but on no institution directory
Alexander Gebhard 0001,3,,"Technische Universität München, Germany|Universität Augsburg, Germany",current DBLP affiliation here but on no institution directory
Liqiu Meng,3,,"Technical University Munich, Germany",current DBLP affiliation here but on no institution directory
Uwe Stilla,3,,"Technical University Munich, Germany",current DBLP affiliation here but on no institution directory
Hang Li 0010,3,,"Ludwig Maximilian University of Munich, Munich, Germany|Siemens AG, Munich, Germany",current DBLP affiliation here but on no institution directory
Julio Rogelio Guadarrama-Olvera,1,,"Technical University of Munich, Institute for Cognitive Systems (ICS), Germany",current DBLP affiliation here but on no institution directory
