name,core_papers,sources,dblp_current,status,reason_code,reason
Isabel Valera,12,,"Saarland University, Department of Computer Science, Saarbrücken, Germany|Max Planck Institute for Intelligent Systems, ",exclude,E08,CSRankings files them at Saarland University (de)
Yao Feng 0001,12,,"Stanford University, CA, USA",exclude,E08,DBLP labels the affiliation former
A. Sophia Koepke,12,de-tue-ai-center,,include,,on an institution directory here; no corroborating DBLP affiliation note
Philipp Berens,11,de-tue-ai-center;de-university-of-t-bingen;csrankings,,include,,on an institution directory here; no corroborating DBLP affiliation note
David A. Klindt,11,,"Norwegian University of Science and Technology (NUST), Department of Mathematical Sciences, Trondheim, Norway",exclude,E02,DBLP records this as the PhD institution ()
Roland S. Zimmermann,10,,"University of Tübingen, Germany",queue,,current DBLP affiliation here but on no institution directory
Xu Chen 0025,10,,"ETH Zurich, AIT Lab, Zürich, Switzerland|Max Planck Institute for Intelligent Systems, Tübingen, Germany",exclude,E08,DBLP's primary current affiliation is ETH Zurich; on none of the local directories
Sahar Abdelnabi,10,de-ellis-institute-tue;de-mpi-is-tue;de-tue-ai-center,,include,,on an institution directory here; no corroborating DBLP affiliation note
Dmitry Kobak,10,,"University of Tübingen, Germany",queue,,current DBLP affiliation here but on no institution directory
Hendrik P. A. Lensch,10,de-university-of-t-bingen;csrankings,"University of Tübingen, Germany",include,,on an institution directory here
Javier Romero 0002,9,,"Meta, Codec Avatars Lab|Facebook Reality Labs, Barcelona, Pittsburgh, USA|Body Labs Inc.|Max Planck Institute for Intell",exclude,E08,DBLP's primary current affiliation is Meta; on none of the local directories
Yash Sharma 0001,9,,"University of Tübingen, Germany|International Max Planck Research School for Intelligent Systems, Germany",exclude,E02,"affiliation is the IMPRS doctoral school, not a faculty post"
Samira Samadi,9,de-mpi-is-tue;de-tue-ai-center,,include,,on an institution directory here; no corroborating DBLP affiliation note
Michael Kirchhof 0002,9,,"Apple|TU Dortmund, Germany",exclude,E02,DBLP records this as the PhD institution (2024)
Rediet Abebe,8,de-ellis-institute-tue;de-tue-ai-center,,include,,on an institution directory here; no corroborating DBLP affiliation note
