person,counted_city,match,openalex_id,recent_affiliations,verdict,papers,sources
Michael Backes 0001,Saarbrücken,orcid,A5102730269,"Helmholtz Center for Information Security (DE, 2025)",confirms,28,de-saarland-university;de-cispa-helmholtz-center;csrankings
Adam Dziedzic,Saarbrücken,orcid,A5044067668,"Helmholtz Center for Information Security (DE, 2026)",confirms,28,de-cispa-helmholtz-center;csrankings
Vera Demberg,Saarbrücken,orcid,A5023605306,"Language Science (South Korea) (KR, 2025) | Max Planck Institute for Informatics (DE, 2025) | Hochschule für Technik und Wirtschaft des Saarlandes (DE, 2025) | Saarland University (DE, 2026)",confirms,24,de-saarland-university;de-mpi-inf;csrankings;csrankings
Franziska Boenisch,Saarbrücken,orcid,A5039583147,"Vector Institute (CA, 2024) | Helmholtz Center for Information Security (DE, 2026)",confirms,24,de-cispa-helmholtz-center;csrankings
Jan Eric Lenssen,Saarbrücken,ambiguous(2),,,no_data,22,de-saarland-university;de-mpi-inf
Krikamol Muandet,Saarbrücken,orcid,A5035023688,"Helmholtz Center for Information Security (DE, 2026) | Max Planck Institute for Intelligent Systems (DE, 2024)",confirms,22,de-cispa-helmholtz-center;csrankings
Rebekka Burkholz,Saarbrücken,ambiguous(5),,,no_data,21,de-cispa-helmholtz-center;csrankings
Josef van Genabith,Saarbrücken,orcid,A5049194403,"German Research Centre for Artificial Intelligence (DE, 2025)",confirms,18,de-saarland-university;csrankings
Alexander Koller,Saarbrücken,orcid,A5088112892,"University of Groningen (NL, 2024) | Georgetown University (US, 2024) | Hochschule für Technik und Wirtschaft des Saarlandes (DE, 2025) | University of Amsterdam (NL, 2024) | Saarland University (DE, 2026)",confirms,18,de-saarland-university;de-mpi-inf;csrankings
Sara Magliacane,Saarbrücken,ambiguous(3),,,no_data,16,de-saarland-university
Michael Hahn 0001,Saarbrücken,orcid,A5007794565,"Mercedes-Benz (Germany) (DE, 2026) | Ludwig-Maximilians-Universität München (DE, 2024) | Saarland University (DE, 2026)",confirms,15,de-saarland-university;csrankings
Jörg Hoffmann 0001,Saarbrücken,orcid,A5076532681,"German Research Centre for Artificial Intelligence (DE, 2026) | Max Planck Institute for Innovation and Competition (DE, 2024) | Hochschule Osnabrück (DE, 2024) | Saarland University (DE, 2025)",confirms,14,de-saarland-university;csrankings
Isabel Valera,Saarbrücken,orcid,A5037473201,"Max Planck Institute for Software Systems (DE, 2025) | Saarland University (DE, 2026)",confirms,12,de-saarland-university;csrankings;csrankings
Krishna P. Gummadi,Saarbrücken,ambiguous(5),,,no_data,11,de-saarland-university
Xiao Zhang 0034,Saarbrücken,orcid,A5106403975,"Helmholtz Center for Information Security (DE, 2025)",confirms,11,de-cispa-helmholtz-center;csrankings
Hans-Peter Seidel,Saarbrücken,ambiguous(3),,,no_data,10,de-saarland-university;de-mpi-inf
Mariya Toneva,Saarbrücken,name,A5072973927,"Max Planck Institute for Software Systems (DE, 2026)",confirms,10,de-mpi-sws
Markus Bläser,Saarbrücken,ambiguous(5),,,no_data,9,de-saarland-university;csrankings
Andrew Lowy,Saarbrücken,name,A5115060923,"University of Wisconsin–Madison (US, 2024)",elsewhere,8,de-cispa-helmholtz-center;csrankings
