person,counted_city,match,openalex_id,recent_affiliations,verdict,papers,sources
Darius Burschka,München,name,A5028614249,"Embedded Systems (United States) (US, 2025) | Technical University of Munich (DE, 2026)",confirms,10,de-tu-munich;csrankings
Florian Matthes,München,orcid,A5022973212,"Nvidia (United Kingdom) (GB, 2025) | Universität Bayern (DE, 2024) | Technical University of Munich (DE, 2026) | Technische Universität Dresden (DE, 2025)",confirms,10,de-tu-munich;csrankings
Mathias Drton,München,ambiguous(3),,,no_data,10,de-tu-munich;de-mcml
Thomas Nagler,München,ambiguous(4),,,no_data,10,de-lmu-munich;de-mcml
Gordon Cheng,München,orcid,A5048975019,"Munich University of Applied Sciences (DE, 2024) | Centre for Movement Disorders (CA, 2025) | Fraunhofer Institute for Cognitive Systems (DE, 2026) | Supply Chain Competence Center (Germany) (DE, 2026) | Technical University of Munich (DE, 2026)",confirms,9,de-tu-munich;csrankings
Matthias Grabmair,München,ambiguous(3),,,no_data,9,de-tu-munich;csrankings
Johannes Betz,München,orcid,A5063677428,"University of Bonn (DE, 2025) | Institute of Robotics (None, 2025) | Technical University of Munich (DE, 2026)",confirms,8,de-tu-munich;csrankings
Claudia Linnhoff-Popien,München,ambiguous(4),,,no_data,7,de-lmu-munich;csrankings;csrankings;csrankings
Frauke Kreuter,München,ambiguous(5),,,no_data,7,de-lmu-munich;de-mcml
Bernd Finkbeiner,München,orcid,A5048189898,"Deutsches Zentrum für Luft- und Raumfahrt e. V. (DLR) (DE, 2024) | Helmholtz Center for Information Security (DE, 2026)",confirms,6,de-tu-munich
Christian Wachinger,München,ambiguous(2),,,no_data,6,de-tu-munich;de-mcml
Jana Diesner,München,name,A5025085845,"University of Illinois Urbana-Champaign (US, 2026) | Technical University of Munich (DE, 2026)",confirms,6,de-tu-munich;de-mcml;csrankings
Lorenzo Masia,München,orcid,A5003141287,"University of Siena (IT, 2025) | Scuola Superiore Sant'Anna (IT, 2025) | Khalifa University of Science and Technology (AE, 2025) | University of Zagreb (HR, 2024) | Heidelberg University (DE, 2026) | Machine Intelligence Research Institute (US, 2025) | Centre National pour la Recherche Scientifique et Technique (CNRST) (MA, 2025) | Akina (United States) (US, 2025) | Heidelberg Engineering (Germany) (DE, 2025) | Medrobotics (United States) (US, 2025) | Bühler (United Kingdom) (GB, 2025) | Technical University of Munich (DE, 2026) | Ludwig-Maximilians-Universität München (DE, 2026) | Heidelberg University (US, 2025)",confirms,6,de-tu-munich
Marco Caccamo,München,orcid,A5060442004,"West Virginia University (US, 2025) | West Virginia University Hospitals (US, 2025) | Technical University of Munich (DE, 2026)",confirms,6,de-tu-munich;csrankings
Markus Lienkamp,München,name,A5079718896,"Robotics Research (United States) (US, 2026) | Isotopen Technologien München (Germany) (DE, 2025) | Technical University of Munich (DE, 2026)",confirms,6,de-tu-munich
Thomas Seidl 0001,München,orcid,A5003335849,"University of Liechtenstein (LI, 2025) | LMU Klinikum (DE, 2026) | Fraunhofer Center for Applied Research on Supply Chain Services (DE, 2025) | Fraunhofer Institute for Integrated Circuits (DE, 2025) | Fraunhofer Institute for Factory Operation and Automation (DE, 2024) | Data:Lab Munich (Germany) (DE, 2024) | Munich Center for Machine Learning (None, 2026) | Ludwig-Maximilians-Universität München (DE, 2026)",confirms,6,de-lmu-munich;de-mcml;csrankings
Thomas Augustin 0001,München,no_match,,,no_data,6,de-lmu-munich
Helmut Schmid,München,ambiguous(3),,,no_data,6,csrankings
Julia A. Schnabel,München,ambiguous(3),,,no_data,5,de-tu-munich;de-mcml
Orestis Papakyriakopoulos,München,ambiguous(5),,,no_data,5,de-tu-munich
S. Rasoul Etesami 0001,München,no_match,,,no_data,5,de-tu-munich
Wolfgang Utschick,München,ambiguous(5),,,no_data,5,de-tu-munich
Björn M. Eskofier,München,orcid,A5014144494,"Zimmer Biomet (Netherlands) (NL, 2026) | Friedrich-Alexander-Universität Erlangen-Nürnberg (DE, 2026) | X-Fab (Germany) (DE, 2025) | Center for Environmental Health (US, 2026) | Helmholtz Munich (DE, 2026) | LMU Klinikum (DE, 2026) | Universitätsklinikum Erlangen (DE, 2024) | Institut für Psychogerontologie (DE, 2025) | O’Connor Hospital (US, 2025) | Artificial Intelligence in Medicine (Canada) (CA, 2026) | Munich Center for Machine Learning (None, 2026) | Bayer (Germany) (DE, 2024) | Ludwig-Maximilians-Universität München (DE, 2026) | Assiut University (EG, 2024)",confirms,5,de-mcml
Benedikt Wiestler,München,ambiguous(4),,,no_data,4,de-tu-munich;de-mcml
Felix Brandt 0001,München,orcid,A5001200543,"Tumaini University (TZ, 2024) | Technical University of Munich (DE, 2025)",confirms,4,de-tu-munich;csrankings
Jia Chen 0003,München,no_match,,,no_data,4,de-tu-munich
Klaus Diepold,München,ambiguous(2),,,no_data,4,de-tu-munich;csrankings
Robert Wille,München,orcid,A5004214923,"Infineon Technologies (Germany) (DE, 2025) | Munich University of Applied Sciences (DE, 2024) | Software (Germany) (DE, 2025) | Medical Laboratory Science Council of Nigeria (NG, 2026) | Universität Bayern (DE, 2024) | Software Competence Center Hagenberg (Austria) (AT, 2026) | Munich Center for Quantum Science and Technology (DE, 2026) | Isotopen Technologien München (Germany) (DE, 2026) | Institute of Automation (DE, 2025) | Technical University of Munich (DE, 2026)",confirms,4,de-tu-munich;csrankings
Rüdiger Westermann,München,orcid,A5029621326,"Technical University of Munich (DE, 2026) | Delft University of Technology (NL, 2025)",confirms,4,de-tu-munich;de-mcml;csrankings
Ulf Schlichtmann,München,ambiguous(2),,,no_data,4,de-tu-munich
Matthias Schubert,München,ambiguous(3),,,no_data,4,de-lmu-munich;de-mcml;csrankings
Carsten Marr,München,ambiguous(3),,,no_data,4,de-mcml
Carsten Steger,München,orcid,A5061476709,"Software (Germany) (DE, 2026) | Technical University of Munich (DE, 2026) | Software (Spain) (ES, 2026)",confirms,4,csrankings
Cristina Piazza,München,orcid,A5077271684,"Brigham and Women's Hospital (US, 2024) | Harvard University (US, 2024) | Technical University of Munich (DE, 2026)",confirms,3,de-tu-munich;csrankings
Martin Bichler,München,orcid,A5081991753,"Isotopen Technologien München (Germany) (DE, 2026) | Technical University of Munich (DE, 2026)",confirms,3,de-tu-munich;csrankings
Tim Hoffmann,München,ambiguous(5),,,no_data,3,de-tu-munich
Ulrich Bauer,München,ambiguous(3),,,no_data,3,de-tu-munich;de-mcml
Thomas Gabor,München,ambiguous(2),,,no_data,3,de-mcml
Holger Rauhut,München,ambiguous(5),,,no_data,3,de-mcml
Hans-Arno Jacobsen,München,orcid,A5072791865,"Fleming College (CA, 2024) | University of Illinois Urbana-Champaign (US, 2026) | University of Toronto (CA, 2026) | Canada Research Chairs (CA, 2024) | Technical University of Munich (DE, 2025) | Rogers (United States) (US, 2026)",moved_since,3,csrankings
Marc Toussaint,Berlin,orcid,A5065672819,"Centre National de la Recherche Scientifique (FR, 2025) | Université de Sherbrooke (CA, 2025) | Inserm (FR, 2025) | Stuttgart Technical University of Applied Sciences (DE, 2026) | Centre de Recherche en Cancérologie et Immunologie Intégrée Nantes Angers (FR, 2025) | Intelligent Systems Research (United States) (US, 2025) | Technische Universität Berlin (DE, 2026) | Nantes Université (FR, 2025)",confirms,39,de-tu-berlin;csrankings
Sebastian Pokutta,Berlin,orcid,A5043574831,"Centre National de la Recherche Scientifique (FR, 2024) | Georgia Institute of Technology (US, 2026) | Zuse Institute Berlin (DE, 2026) | Centre Inria de l'Université Grenoble Alpes (FR, 2024) | Laboratoire d'Informatique de Grenoble (FR, 2024) | Institute of Mathematics and Informatics (BG, 2024) | Czech Academy of Sciences, Institute of Mathematics (CZ, 2024) | Fraunhofer Institute for Production Systems and Design Technology (DE, 2026) | Technische Universität Berlin (DE, 2026) | Université Grenoble Alpes (FR, 2024)",confirms,33,de-tu-berlin;csrankings
Wojciech Samek,Berlin,orcid,A5026451495,"Fraunhofer Institute for Telecommunications, Heinrich Hertz Institute (DE, 2026) | Berliner Institut für Sozialforschung (DE, 2026) | Ernst Schering Foundation (DE, 2025) | Berlin Institute of Health at Charité - Universitätsmedizin Berlin (DE, 2026) | Berlin Institute for the Foundations of Learning and Data (DE, 2026) | Technische Universität Berlin (DE, 2026)",confirms,28,de-tu-berlin;csrankings
Guillermo Gallego 0002,Berlin,orcid,A5068567652,"University of Oslo (NO, 2024) | Shenzhen Metro (China) (CN, 2025) | Einstein Center Digital Future (DE, 2025) | Robotics Research (United States) (US, 2025) | Innovation Cluster (Canada) (CA, 2025) | Excellence Cluster Universe (DE, 2024) | Technische Universität Berlin (DE, 2025) | Vrije Universiteit Amsterdam (NL, 2024) | University of Hong Kong (HK, 2025)",confirms,26,de-tu-berlin;csrankings;csrankings
Klaus-Robert Müller,Berlin,orcid,A5072994165,"Google (United States) (US, 2025) | Oral Roberts University (US, 2025) | Korea University (KR, 2026) | Robert Koch Institute (DE, 2025) | Korea Aerospace University (KR, 2025) | Berliner Institut für Sozialforschung (DE, 2025) | Google DeepMind (United Kingdom) (GB, 2025) | Beijing Institute of Big Data Research (CN, 2025) | Max Planck Institute for Informatics (DE, 2026) | Max Planck Institute for Human Cognitive and Brain Sciences (DE, 2025) | Institute for Learning and Development (US, 2025) | Berlin Institute of Health at Charité - Universitätsmedizin Berlin (DE, 2026) | Korea University (JP, 2025) | Artificial Intelligence in Medicine (Canada) (CA, 2025) | Berlin Institute for the Foundations of Learning and Data (DE, 2025) | Technische Universität Berlin (DE, 2026) | University of Bayreuth (DE, 2025)",confirms,23,de-tu-berlin;csrankings
Oliver Brock,Berlin,ambiguous(3),,,no_data,17,de-tu-berlin;csrankings
Alan Akbik,Berlin,name,A5032877157,"Cal Poly Humboldt (US, 2024) | Humboldt-Universität zu Berlin (DE, 2026)",confirms,17,csrankings
Sebastian Möller 0001,Berlin,orcid,A5075001284,"Leuphana University of Lüneburg (DE, 2025) | Altran (France) (FR, 2025) | Sahlgrenska University Hospital (SE, 2024) | German Primate Center (DE, 2025) | Northumbria University (GB, 2024) | German Research Centre for Artificial Intelligence (DE, 2026) | Laboklin (Germany) (DE, 2025) | Language Science (South Korea) (KR, 2026) | Virtual Vehicle Research GmbH (Austria) (AT, 2025) | Quality and Reliability (Greece) (GR, 2026) | German Central Institute for Social Issues (DE, 2025) | Leibniz ScienceCampus Primate Cognition (DE, 2025) | Hochschule Osnabrück (DE, 2026) | Berlin Institute for the Foundations of Learning and Data (DE, 2024) | Technische Universität Berlin (DE, 2026)",confirms,14,de-tu-berlin;csrankings
Wolfgang Hönig,Berlin,name,A5086120608,"Robotics Research (United States) (US, 2026) | Technische Universität Berlin (DE, 2026)",confirms,12,de-tu-berlin;csrankings
Rolf Niedermeier,Berlin,orcid,A5033021388,"Technische Universität Berlin (DE, 2025)",confirms,12,csrankings
Jens Lambrecht,Berlin,name,A5002499102,"Wacker (United States) (US, 2024) | Fraunhofer Institute for Production Systems and Design Technology (DE, 2024) | Technische Universität Berlin (DE, 2025) | Technische Universität Braunschweig (DE, 2026)",confirms,10,csrankings
Peter Eisert,Berlin,orcid,A5009614926,"Cal Poly Humboldt (US, 2025) | Fraunhofer Institute for Telecommunications, Heinrich Hertz Institute (DE, 2025) | Humboldt-Universität zu Berlin (DE, 2025) | Fraunhofer Institute for Secure Information Technology (DE, 2026) | Fraunhofer Institute for Production Systems and Design Technology (DE, 2025)",moved_since,10,csrankings
Frank Noé,Berlin,ambiguous(5),,,no_data,10,csrankings
Gabriele Steidl,Berlin,ambiguous(5),,,no_data,9,de-tu-berlin
Thomas Wiegand 0001,Berlin,no_match,,,no_data,7,de-tu-berlin;csrankings
Tim Landgraf,Berlin,orcid,A5073520168,"Robotics Research (United States) (US, 2025) | Freie Universität Berlin (DE, 2026)",confirms,6,csrankings
Daniel Göhring,Berlin,orcid,A5007762628,"Freie Universität Berlin (DE, 2026)",confirms,5,csrankings;csrankings
Marc Alexa,Berlin,orcid,A5072827199,"Siemens (Hungary) (HU, 2026) | Gheorghe Asachi Technical University of Iași (RO, 2024) | Technische Universität Berlin (DE, 2026)",confirms,4,de-tu-berlin;csrankings
Olaf Hellwich,Berlin,no_match,,,no_data,4,de-tu-berlin;csrankings
Henning Sprekeler,Berlin,no_match,,,no_data,4,de-tu-berlin;csrankings
Martin Skutella,Berlin,no_match,,,no_data,4,de-tu-berlin;csrankings
Manfred Opper,Berlin,no_match,,,no_data,4,de-tu-berlin;csrankings
Adrian Paschke,Berlin,orcid,A5088336451,"Fraunhofer Institute for Open Communication Systems (DE, 2026) | Institut für Angewandte Trainingswissenschaft (DE, 2025) | Freie Universität Berlin (DE, 2026) | Leipzig University (DE, 2025)",confirms,4,csrankings
Gerhard Wunder,Berlin,orcid,A5044286247,"Freie Universität Berlin (DE, 2026)",confirms,4,csrankings
Dorothea Kolossa,Berlin,no_match,,,no_data,3,de-tu-berlin
Marius Kloft,Kaiserslautern,orcid,A5091841504,"University of Kaiserslautern (DE, 2026) | University of Koblenz and Landau (DE, 2025) | Rheinland-Pfälzische Technische Universität Kaiserslautern-Landau (DE, 2025) | University of Applied Sciences Kaiserslautern (DE, 2026)",confirms,34,csrankings
Didier Stricker,Kaiserslautern,no_match,,,no_data,32,csrankings
Abhilasha Ravichander,Kaiserslautern,no_match,,,no_data,21,de-mpi-sws
Krishna P. Gummadi,Kaiserslautern,ambiguous(5),,,no_data,11,de-mpi-sws
Andreas Dengel 0001,Kaiserslautern,no_match,,,no_data,10,csrankings;csrankings
Sebastian J. Vollmer,Kaiserslautern,no_match,,,no_data,10,csrankings
Sophie Fellenz,Kaiserslautern,no_match,,,no_data,10,csrankings
Rupak Majumdar,Kaiserslautern,no_match,,,no_data,9,de-mpi-sws
Anthony Widjaja Lin,Kaiserslautern,no_match,,,no_data,3,de-mpi-sws;csrankings;csrankings;csrankings
Paul Lukowicz,Kaiserslautern,no_match,,,no_data,3,csrankings
