inst_id,source,name,country,city_expected,homepage,csrankings_faculty,ror_query,ror_id,ror_name,ror_city,lat,lon,score,similarity,domain_match,coords_from,city_note,override_note,status,geocode_precision,geocode_query,geocode_display,shift_from_city_km
gb-university-of-warwick,csrankings,University of Warwick,gb,,https://warwick.ac.uk/fac/sci/dcs/,65,University of Warwick,01a77tt86,University of Warwick,Coventry,52.3813073,-1.5639569,1.00,1.00,0,,,,auto,street,"University of Warwick, Coventry","University of Warwick, Kirby Corner Road, Kirby Corner, Canley, Coventry, West Midlands, E",4.50
gr-ntua,csrankings,NTUA,gr,,https://www.ece.ntua.gr,65,National Technical University of Athens,03cx6bg69,National Technical University of Athens,Athens,37.98376,23.72784,1.00,1.00,1,,,,auto,city_centroid,,,0.00
it-university-of-pisa,csrankings,University of Pisa,it,,https://di.unipi.it/en/,65,University of Pisa,03ad39j10,University of Pisa,Pisa,43.70853,10.4036,1.00,1.00,1,,,,auto,city_centroid,,,0.00
de-tu-berlin,csrankings,TU Berlin,de,,https://www.tu.berlin/en/eecs,64,TU Berlin,03v4gjf40,Technische Universität Berlin,Berlin,52.5110159,13.3269541,1.00,1.00,0,,,,auto,street,"TU Berlin, Berlin","Technische Universität Berlin, Waghäuseler Straße, Güntzelkiez, Wilmersdorf, Charlottenbur",5.85
ie-university-college-dublin,csrankings,University College Dublin,ie,,https://www.ucd.ie/cs/,64,University College Dublin,05m7pjf47,University College Dublin,Dublin,53.33306,-6.24889,1.00,1.00,1,,,,auto,city_centroid,,,0.00
gb-university-of-birmingham,csrankings,University of Birmingham,gb,,https://www.birmingham.ac.uk/schools/computer-science/,63,University of Birmingham,03angcq70,University of Birmingham,Birmingham,52.48142,-1.89983,1.00,1.00,0,,,,auto,city_centroid,,,0.00
gb-university-of-nottingham,csrankings,University of Nottingham,gb,,https://www.nottingham.ac.uk/computerscience/,63,University of Nottingham,01ee9ar58,University of Nottingham,Nottingham,52.9387428,-1.2002957,1.00,1.00,0,,,,auto,street,"University of Nottingham, Nottingham","University of Nottingham, University Boulevard, Dunkirk, City of Nottingham, East Midlands",3.72
gb-university-of-kent,csrankings,University of Kent,gb,,https://www.cs.kent.ac.uk,62,University of Kent,00xkeyj56,University of Kent,Canterbury,51.2950874,1.0673313,1.00,1.00,1,,,,auto,street,"University of Kent, Canterbury","University of Kent, Verwood Close, St. Stephen's, Canterbury, Kent, England, CT2 7HS, Unit",1.99
gb-lancaster-university,csrankings,Lancaster University,gb,,https://www.lancaster.ac.uk/scc/,61,Lancaster University,04f2nsd36,Lancaster University,Lancaster,54.0098429,-2.7875768,1.00,1.00,1,,,,auto,street,"Lancaster University, Lancaster","Lancaster University, North Spine, Bowland College, Hala, Bailrigg, Lancaster, Lancashire,",4.15
gb-queen-mary-university-of-london,csrankings,Queen Mary University of London,gb,,https://www.qmul.ac.uk/eecs/,61,Queen Mary University of London,026zzn846,Queen Mary University of London,London,51.5247403,-0.0393136,1.00,1.00,0,,,,auto,building,"Queen Mary University of London, London","Queen Mary University of London, 327, Mile End Road, Mile End, London Borough of Tower Ham",6.25
