name,core_papers,sources,dblp_current,status,reason_code,reason
Shuo Chen 0014,4,,"LMU Munich, Germany",queue,,current DBLP affiliation here but on no institution directory
Rüdiger Westermann,4,de-mcml;de-tu-munich;csrankings,"Technical University Munich, Germany",include,,on an institution directory here
Ganlin Zhang 0001,4,,"Technical University of Munich, Germany",queue,,current DBLP affiliation here but on no institution directory
Zheyu Zhang 0007,4,,"Technical University of Munich, Germany",queue,,current DBLP affiliation here but on no institution directory
Xin Jing 0001,4,,"Technical University of Munich (TUM), Chair of Health Informatics, Munich, Germany|University of Augsburg, Embedded Inte",queue,,current DBLP affiliation here but on no institution directory
Felix Krause 0002,4,,"LMU, Munich, Germany",queue,,current DBLP affiliation here but on no institution directory
Yi Wang 0072,4,,"Technical University of Munich (TUM), Data Science in Earth Observation, Munich, Germany|German Aerospace Center (DLR), ",queue,,current DBLP affiliation here but on no institution directory
Klaus Diepold,4,de-tu-munich;csrankings,"Technical University Munich, Germany",include,,on an institution directory here
Markus Rickert 0001,4,,"TU Munich, Germany",queue,,current DBLP affiliation here but on no institution directory
Christian Böhm 0001,4,,"University of Vienna, Austria",exclude,E08,CSRankings files them at University of Vienna (at)
Dirk Wollherr,4,,"TU München, Germany",queue,,current DBLP affiliation here but on no institution directory
Pengyuan Wang 0002,4,,"Technical University of Munich, Department of Informatics, Germany",queue,,current DBLP affiliation here but on no institution directory
Tassilo Klein,4,,"Technical University Munich, Germany",queue,,current DBLP affiliation here but on no institution directory
Qing Cheng 0001,4,,"Technical University of Munich, Germany|Artisense GmbH, Munich, Germany",queue,,current DBLP affiliation here but on no institution directory
Ulf Schlichtmann,4,de-tu-munich,"Technical University of Munich, Institute for Electronic Design Automation, Germany",include,,on an institution directory here
Hao Shen 0002,4,,"Fortiss GmbH, Munich|Technical University of Munich, Munich, Germany",queue,,current DBLP affiliation here but on no institution directory
Robert Wille,4,de-tu-munich;csrankings,"Technical University of Munich, Germany",include,,on an institution directory here
Nan Yang 0007,4,,"Technical University Munich, Germany",queue,,current DBLP affiliation here but on no institution directory
Jia Chen 0003,4,de-tu-munich,,queue,,"on a local directory, but DBLP's current affiliation is Tsinghua University"
Yu Wang 0008,4,,"Peng Cheng Laboratory, Department of Network Intelligence, Shenzhen, China|German Research Center for Environmental Heal",exclude,E08,DBLP's primary current affiliation is Peng Cheng Laboratory; on none of the local directories
Ziyang Meng 0001,4,,"Tsinghua University, Department of Precision Instrument, Beijing, China|Shanghai Jiao Tong University, Shanghai, China|K",exclude,E08,DBLP's primary current affiliation is Tsinghua University; on none of the local directories
Peter Kocsis 0001,4,,"Technical University of Munich, Germany",queue,,current DBLP affiliation here but on no institution directory
Di Wu 0053,4,,"Johns Hopkins University, Laboratory for Computational Sensing and Robotics, Baltimore, MD, USA|Technical University of ",exclude,E08,DBLP's primary current affiliation is Johns Hopkins University; on none of the local directories
Tong Liu 0019,4,,"LMU Munich, Department of Informatics, Munich, Germany|Munich Center for Machine Learning, Germany",queue,,current DBLP affiliation here but on no institution directory
Birgit Vogel-Heuser,3,,"Technical University Munich, Germany",queue,,current DBLP affiliation here but on no institution directory
Robert Müller 0005,3,,"LMU Munich, Munich, Germany",queue,,current DBLP affiliation here but on no institution directory
Daniel Mueller-Gritschneder,3,,"TU Wien, Vienna, Austria",exclude,E08,CSRankings files them at TU Wien (at)
Hans-Arno Jacobsen,3,csrankings,"TU Munich, Faculty of Computer Science, Germany|University of Toronto, Electrical and Computer Engineering Department, C",include,,on an institution directory here
Felix Ott 0001,3,,"Fraunhofer IIS, Fraunhofer Institute for Integrated Circuits, Precise Positioning and Analytics Department, Nuremberg, G",exclude,E02,DBLP records this as the PhD institution (2023)
Hong Joo Lee 0001,3,,"Technical University of Munich, Germany",queue,,current DBLP affiliation here but on no institution directory
Thomas Decker 0004,3,,"Siemens AG, Munich, Germany|LMU Munich, Germany",queue,,current DBLP affiliation here but on no institution directory
Simon Burton 0001,3,,"Fraunhofer Institute for Cognitive Systems (IKS), Munich, Germany",queue,,current DBLP affiliation here but on no institution directory
Dominik Klein 0005,3,,"Helmholtz Munich, Munich, Germany",queue,,current DBLP affiliation here but on no institution directory
Holger Rauhut,3,de-mcml,,include,,on an institution directory here; no corroborating DBLP affiliation note
Jonathan Harrington,3,,"Ludwig Maximilian University of Munich, Germany",queue,,current DBLP affiliation here but on no institution directory
Michael Schmidt 0015,3,,"BMW Group, Munich, Germany",queue,,current DBLP affiliation here but on no institution directory
Junnan Li 0008,3,,"TU Munich, Munich Institute of Robotics and Machine Intelligence, Germany",queue,,current DBLP affiliation here but on no institution directory
Ahmed Frikha 0002,3,,"Huawei Munich Research Center, Germany",queue,,current DBLP affiliation here but on no institution directory
Virginia Estellers,3,,"TU Munich, Department of Computer Science, Germany|University of California, Los Angeles, Vision Lab, CA, USA|EPFL Lausa",queue,,current DBLP affiliation here but on no institution directory
Thomas Gabor,3,de-mcml,,include,,on an institution directory here; no corroborating DBLP affiliation note
Yida Wang 0001,3,,,exclude,E02,DBLP records this as the PhD institution (2023)
Yvain Quéau,3,,"TU Munich, Department of Computer Science, Germany",queue,,current DBLP affiliation here but on no institution directory
Tim Hoffmann,3,de-tu-munich,,include,,on an institution directory here; no corroborating DBLP affiliation note
Aleksandra Franz,3,,"Technical University of Munich, Germany",queue,,current DBLP affiliation here but on no institution directory
Ulrich Bauer,3,de-mcml;de-tu-munich,"Technical University Munich, Germany",include,,on an institution directory here
Haowei Zhang 0002,3,,"Technical University of Munich, Munich, Germany",queue,,current DBLP affiliation here but on no institution directory
Thomas Wimmer 0001,3,,"ETH Zurich, Switzerland",exclude,E08,DBLP labels the affiliation former
Cristina Piazza,3,de-tu-munich;csrankings,,include,,on an institution directory here; no corroborating DBLP affiliation note
Patrick Ebel 0002,3,,"Technical University of Munich, Department of Aerospace and Geodesy, Germany|EPFL, Computer Vision Lab, Lausanne, Switze",exclude,E08,CSRankings files them at Hasso Plattner Institute (de)
Wei Zhang 0334,3,,"Huawei Munich Research Center, Germany|University of Stuttgart, Institute for Photogrammetry, Germany",queue,,current DBLP affiliation here but on no institution directory
Axel von Arnim,3,,"fortiss - Research Institute of the Free State of Bavaria, Department of Neuromorphic Computing, Munich, Germany",queue,,current DBLP affiliation here but on no institution directory
Robert Maier 0001,3,,Meta Reality Labs Research,exclude,E02,DBLP records this as the PhD institution (2020)
Tingying Peng,3,de-helmholtz-munich,"Helmholtz AI, Munich, German|Technical University of Munich, Germany",include,,on an institution directory here
Alexander Gebhard 0001,3,,"Technische Universität München, Germany|Universität Augsburg, Germany",queue,,current DBLP affiliation here but on no institution directory
Michael Fromm 0001,3,,"Fraunhofer IAIS, Germany",exclude,E08,DBLP labels the affiliation former
Liqiu Meng,3,,"Technical University Munich, Germany",queue,,current DBLP affiliation here but on no institution directory
