name,core_papers,sources,dblp_current,status,reason_code,reason
Majid Khadiv,9,de-tu-munich,,include,,on an institution directory here; no corroborating DBLP affiliation note
Gordon Cheng,9,de-tu-munich;csrankings,"Technical University Munich, Germany",include,,on an institution directory here
Claudia Plant,9,,"University of Vienna, Austria|Ludwig Maximilian University of Munich, Germany",exclude,E08,CSRankings files them at University of Vienna (at)
Gang Chen 0023,9,,"Sun Yat-sen University, School of Data and Computer Science, Guangzhou, China",exclude,E02,DBLP records this as the PhD institution (2016)
Kejia Chen 0005,8,,"Technical University of Munich, Germany",queue,,current DBLP affiliation here but on no institution directory
Hao Yu 0010,8,,"Technical University of Munich, Germany|National University of Defense Technology, National Laboratory for Parallel and ",queue,,current DBLP affiliation here but on no institution directory
Yuhong Huang,8,,"Technische Universität München, München, Germany",queue,,current DBLP affiliation here but on no institution directory
Ruilong Zhang 0001,8,,"Technical University of Munich, Department of Mathematics, Germany",queue,,current DBLP affiliation here but on no institution directory
Junwen Huang 0001,8,,"Technical University of Munich, Munich Center for Machine Learning, Munich, Germany",queue,,current DBLP affiliation here but on no institution directory
Wei Ye 0001,8,,"Tongji University, Department of Computer Science, Shanghai, China|University of California Santa Barbara, CA, USA",exclude,E02,DBLP records this as the PhD institution (2018)
Jian Yang 0034,8,,"Information Engineering University, School of Geospatial Information, Zhengzhou Institute of Surveying and Mapping, Hena",exclude,E02,DBLP records this as the PhD institution (2016)
Johannes Betz,8,de-tu-munich;csrankings,"Technical University of Munich, Germany",include,,on an institution directory here
Tim C. Lueth,8,,"Technical University Munich, Department of Mechanical Engineering, Germany",queue,,current DBLP affiliation here but on no institution directory
Tom Schaul,8,,"Google DeepMind, London, UK|New York University, Courant Institute of Mathematical Sciences, NY, USA|IDSIA, Manno-Lugano",exclude,E02,DBLP records this as the PhD institution (2011)
Nikolaus Demmel,7,,"Technical University of Munich, Department of Informatics, Computer Vision Group, Munich, Germany",queue,,current DBLP affiliation here but on no institution directory
Zixing Zhang 0001,7,,"Hunan University, College of Computer Science and Electronic Engineering, Changsha, China|Imperial College London, Depar",exclude,E02,DBLP records this as the PhD institution (2015)
Claudia Linnhoff-Popien,7,de-lmu-munich;csrankings;csrankings;csrankings,"Ludwig Maximilian University of Munich, Germany",include,,on an institution directory here
Hyemin Ahn 0001,7,,"Ulsan National Institute of Science and Technology, Graduate School of Artificial Intelligence, South Korea|German Aeros",exclude,E08,DBLP's primary current affiliation is Ulsan National Institute of Science and Technology; on none of the local directories
Caner Hazirbas,7,,,exclude,E02,DBLP records this as the PhD institution (2019)
