country,affiliation,csrankings_faculty,dept_homepage
fr,Université Jean Monnet,36,https://perso.univ-st-etienne.fr
gr,AUEB,36,https://www.dept.aueb.gr/en/cs
fr,Ecole Normale Superieure,35,https://www.di.ens.fr/
nl,Maastricht University,35,https://dke.maastrichtuniversity.nl
at,University of Vienna,34,https://informatik.univie.ac.at/en/
no,UiT The Arctic Univ. of Norway,34,https://uit.no
ch,Università della Svizzera italiana,33,https://search.usi.ch
de,Hasso Plattner Institute,33,https://hpi.de
fr,Université Paris Dauphine,33,https://www.lamsade.dauphine.fr
gb,Loughborough University,33,https://www.lboro.ac.uk
gb,University of Strathclyde,33,https://pureportal.strath.ac.uk
gr,University of Crete,33,https://www.csd.uoc.gr
pl,University of Wroclaw,33,https://www.ii.uni.wroc.pl
cz,Czech Technical University,32,https://cmp.felk.cvut.cz
de,University of Erlangen–Nuremberg,32,https://lme.tf.fau.de
de,University of Siegen,32,https://www.eti.uni-siegen.de
gb,Birkbeck University of London,32,https://www.dcs.bbk.ac.uk
gb,University of Sussex,32,https://www.sussex.ac.uk
de,University of Würzburg,30,https://www.informatik.uni-wuerzburg.de
nl,University of Groningen,30,https://www.rug.nl
de,University of Göttingen,29,https://www.uni-goettingen.de/en/institute+of+computer+science/619480.html
gb,University of Aberdeen,29,https://www.abdn.ac.uk
gr,University of Ioannina,29,https://cs.uoi.gr
pl,IPI PAN,29,https://ipipan.waw.pl
fr,Ecole Normale Superieure de Cachan,28,https://www.lsv.ens-cachan.fr
gb,University of Exeter,28,https://computerscience.exeter.ac.uk/
lu,University of Luxembourg,28,https://wwwen.uni.lu
be,Université libre de Bruxelles,27,https://www.ulb.ac.be
cz,Brno University of Technology,27,https://www.fit.vut.cz
de,University of Magdeburg,27,https://isgwww.cs.uni-magdeburg.de
de,University of Oldenburg,27,https://uol.de
es,IMDEA Software Institute,27,https://software.imdea.org
ch,University of Zurich,26,https://www.ifi.uzh.ch/en.html
de,Bundeswehr University Munich,26,https://www.unibw.de/home-en/departments/department-of-computer-science
de,University of Augsburg,26,https://www.uni-augsburg.de
de,University of Bonn,26,https://www.informatik.uni-bonn.de/en
gb,Aberystwyth University,26,https://www.aber.ac.uk/en/cs/
it,University of Catania,26,https://www.dmi.unict.it
de,University of Hannover,25,https://www.tnt.uni-hannover.de
de,Goethe University Frankfurt,24,https://www.goethe-university-frankfurt.de/106076806/Institute_of_Computer_Science
de,University of Duisburg-Essen,24,https://www.uni-due.de
de,University of Regensburg,24,https://www.uni-regensburg.de/en/informatics-data-science
de,University of Münster,23,https://www.uni-muenster.de
fr,INRIA,23,https://cambium.inria.fr
it,Bocconi University,23,https://cs.unibocconi.eu
se,Mälardalen University,23,https://www.es.mdh.se
at,University of Salzburg,22,https://www.cosy.sbg.ac.at
de,University of Koblenz-Landau,22,https://www.uni-koblenz.de/en/computer-science
de,University of Ulm,21,https://www.uni-ulm.de
gb,University of Dundee,21,https://www.computing.dundee.ac.uk
nl,Tilburg University,21,https://www.tilburguniversity.edu/about/schools/tshd/departments/dca
de,Friedrich Schiller University Jena,20,https://www.fmi.uni-jena.de
de,Humboldt University of Berlin,20,https://www.informatik.hu-berlin.de/en
de,Paderborn University,20,https://cs.uni-paderborn.de
de,University of Freiburg,20,https://www.informatik.uni-freiburg.de/
de,University of Kiel,20,https://www.zs.informatik.uni-kiel.de
de,University of Leipzig,20,https://www.informatik.uni-leipzig.de
de,Freie Universitaet Berlin,19,https://www.mi.fu-berlin.de/en/inf/
de,Hamburg University of Technology,19,https://www.tuhh.de/tuhh/en/schools/electrical-engineering-computer-science-and-mathematics
de,TU Braunschweig,19,https://www.ibr.cs.tu-bs.de
de,University of Bremen,19,https://www.informatik.uni-bremen.de
de,University of Rostock,19,https://vcg.informatik.uni-rostock.de
de,University of Wuppertal,19,https://www-num.math.uni-wuppertal.de
it,University of Padova,19,https://www.math.unipd.it
at,University of Innsbruck,18,https://www.uibk.ac.at/en/informatik/
de,TU Ilmenau,18,https://www.tu-ilmenau.de
de,University of Bayreuth,18,https://www.ai2.uni-bayreuth.de
it,University of Sannio,18,https://www.unisannio.it
cy,Cyprus University of Technology,17,https://www.cut.ac.cy/faculties/fet/eecei/
de,University of Bamberg,17,https://www.uni-bamberg.de
es,IMDEA Networks Institute,17,https://networks.imdea.org
it,University of Cagliari,17,https://web.unica.it/unica/en/dip_matinfo.page
be,University of Antwerp,16,https://www.uantwerpen.be
de,Bielefeld University,16,https://www.uni-bielefeld.de/fakultaeten/technische-fakultaet/
de,TU Chemnitz,16,https://www.tu-chemnitz.de
de,University of Konstanz,16,https://www.informatik.uni-konstanz.de/en/
de,University of Passau,16,https://www.fim.uni-passau.de
cy,University of Nicosia,15,https://www.unic.ac.cy
es,Universidad Rey Juan Carlos,15,https://www.tsc.urjc.es
