cluster,country,people,institutions,population,per_100k,median_neighbours,members
Egham,gb,6,1,1292637.25,0.4641673447055622,5.0,Royal Holloway Univ. of London
Canterbury,gb,6,1,210710.875,2.8475037180686567,5.0,University of Kent
Klagenfurt,at,5,1,167851.78125,2.9788185521564134,4.0,University of Klagenfurt
Sofia,bg,5,1,1270878.25,0.3934287175030338,4.0,INSAIT
Frankfurt am Main,de,5,1,1496779.0,0.3340506514321754,4.0,Goethe University Frankfurt
Konstanz,de,5,1,250569.34375,1.9954555993045338,4.0,University of Konstanz
Rethymno,gr,5,1,55421.5703125,9.021758084094344,4.0,University of Crete
Cagliari,it,5,1,388386.0625,1.287378843570114,4.0,University of Cagliari
Enschede,nl,5,1,425211.84375,1.1758844617083881,4.0,University of Twente
Trondheim,no,5,1,214056.21875,2.3358349639164593,4.0,NTNU
